Symbol	Description
GBPUSD.J	
GBPUSD.K	
GBPUSD.M	
GBPUSD.N	
GBPUSD.O	
GBPUSD.Q	
GBPUSD.S	
GBPUSD.U	
GBPUSD.V	
GBPUSD.X	
GBPUYU	
GBPVND	GBP / VND
GBPXAF	GBP / XAF
GBPXOF	
GBPXPF	GBP / XPF
GBPYER	
GBPZAR	GBP / ZAR
GBPZMW	
GCY0	
GCY00	
GHSEUR	Ghanaian Cedi / Euro
GHSGBP	
GHSUSD	GHS / USD
GHSZAR	
GMDGBP	GMD / GBP
GMDUSD	
GNFGBP	
GNFUSD	
GTQGBP	GTQ / GBP
GTQUSD	
GYDGBP	
GYDUSD	
H5Y0	
HGY00	
HKDARS	HKD / ARS
HKDAUD	HKD / AUD
HKDBRL	HKD / BRL
HKDCAD	HKD / CAD
HKDCHF	HKD / CHF
HKDCNY	HKD / CNY
HKDDKK	HKD / DKK
HKDEUR	HKD / EUR
HKDGBP	HKD / GBP
HKDIDR	HKD / IDR
HKDINR	HKD / INR
HKDJPY	HKD / JPY
HKDKRW	HKD / KRW
HKDMXN	HKD / MXN
HKDMYR	HKD / MYR
HKDNZD	HKD / NZD
HKDPKR	Hong Kong Dollar / Pakistani Rupee
HKDPLN	HKD / PLN
HKDSEK	HKD / SEK
HKDSGD	HKD / SGD
HKDTHB	HKD / THB
HKDTWD	HKD / TWD
HKDUSD	HKD / USD
HKDZAR	HKD / ZAR
HNLGBP	HNL / GBP
HNLUSD	
HTGGBP	HTG / GBP
HTGUSD	
HUFBRL	
HUFCAD	
HUFCHF	HUF / CHF
HUFDKK	HUF / DKK
HUFEUR	HUF / EUR
HUFPLN	HUF / PLN
HUFUSD	HUF / USD
HUFZAR	
IDRAUD	IDR / AUD
IDRCAD	Indonesian Rupiah / Canadian Dollar
IDRCHF	IDR / CHF
IDRCNY	IDR / CNY
IDREUR	Indonesian Rupiah / Euro
IDRGBP	IDR / GBP
IDRHKD	IDR / HKD
IDRINR	IDR / INR
IDRJPY	IDR / JPY
IDRKRW	IDR / KRW
IDRMYR	IDR / MYR
IDRNZD	IDR / NZD
IDRSGD	IDR / SGD
IDRTHB	IDR / THB
IDRTWD	IDR / TWD
IDRUSD	Indonesian Rupiah / US Dollar
IDRZAR	IDR / ZAR
ILSAED	
ILSAUD	ILS / AUD
ILSCAD	ILS / CAD
ILSCHF	ILS / CHF
ILSEUR	Israeli Shekel / Euro
ILSGBP	
